question	"answer""If I ask questions about Jimmy Wales as anonymous"	" can Quora reveal my real identity to him?"""
Why do so many people have the belief that pitbulls are bad dogs?	"Something people want to ignore, but cannot, if they are intellectually honest:
Breed traits are bred into dogs, and are VERY hard to erase. Collies, Shelties, border collies are
Golden retrievers, Labradors, these are
Some dogs are
These traits are often breed-specific. My dachshund mix ADORES digging! My old Golden retriever couldn?õ????t have cared less, but my current dog would dig to China!
Pitbulls were bred to
I have petted, been friends with, and neighbor of many pitbull terriers of whatever breed subset. I know that the RCA dog, ?õ????Petey?õ???ù of the Lil Rascals, were both Pitbulls, and I know they used to be called ?õ????the Nanny dog?õ???ù?õ???? but would I OWN one? absolutely NOT! They are just?õ???? too?õ???? dangerous!
Are they the fiercest dog around? Nope. THAT title goes to?õ???? the
Go ahead and laugh, but I?õ????ll tell you that hands down, the fiercest, nastiest, most vocal, most aggressive dogs I have ever met in my life are those little 4 pound 4 legged buzzsaws! If Chihuahuas weighed 60 pounds, I think everyone would live in terror of them! I?õ????ve met more than a few psychotic Chis in my life. BRRRR!
"	
How do you access USMC email from home?	"You need a CAC reader and Active Client software installed on your computer. You will also need the Outlook Web Access URL for the server your account is stored on. You can get it by looking in the ?õ????Info?õ???ù section under the ?õ????File?õ???ù tab on your desktop version of Outlook.
This webpage has a lot of resources for setting up CAC access at home:
It is not endorsed by the military or government but may be able to assist you if your S-6/G-6 cannot.
"	
"Ladies, if your man proposed to you and the ring has gemstones instead of diamonds. Would you still say ""Yes""?"	"Depends on what gemstone it is, carat weight size and quality.
If it is one of the big three gemstones (rubies, sapphires or emeralds) then definitely you should say ?õ????Yes!?õ???ù as I consider high quality ones more rare and difficult to find than a diamond.
Diamonds are marketed really well, definitely not rare and all look pretty much the same in terms of cut. But, high quality gemstones have their own charm by being unique as it is almost impossible to find multiple identical gemstone which has the same color, cut or clarity characteristics.
In fact, if you require a round brilliant, 2 carat D-color, IF-clarity diamond, with top triple excellent make (excellent cut, excellent polish & excellent symmetry) with no florescence ?õ????consider top and rarest quality white diamond?õ???ù - I can forward you 5 to 10 options immediately.
However, if you are looking for top grade, 2 carat ruby like ?õ????unheated?õ???? Burmese vivid red (pigeon?õ????s blood) or 2 carat ?õ????unheated?õ???? Kashmir vivid blue sapphire or ?õ????no oil?õ???? Colombian vivid green emerald - it would be a lot more difficult to find.
"	
Do transgender people really care that much about what bathroom they have to use?	"I could easily answer this question with appeals to reason and appeals to emotion and anecdotal stories to explain my own personal struggles and that of friends on this topic. I?õ????ve done it on many other questions in the transgender topic. I think personal stories and humanizing stories are a great way to explain things that may seem complicated or alternatively unimportant to someone on the outside looking in.
I could try to explain to you the fear as a transwoman of some guy beating me up if I was forced to go into a men?õ????s room. How that quiet, small and often well insulated place can feel like a torture chamber or prison. I can explain the fears that I might not pass well enough when I go into a woman's room and some man will see me going in and attack me without warning assuming I am there for some nefarious purpose rather than to pee and leave.
I could go into details about every single one of those things and fill a paragraph or two about each. But in this case, I don?õ????t have to.
There is clear and objective evidence that yes, transgender people do care and that they have good cause to care. After reading it you can make up your own mind if we care and I challenge anyone who would dispute such.
Overall 59% of transgender persons avoided bathrooms altogether! Not only did they care, they were so paralyzed by the fear, controversy and very real dangers that they went without a bathroom when they needed one! Even amongst those that reported that they can pass as their gender and almost never get outed as transgender 48% sometimes avoided bathrooms. More than half of all transpeople.
A total of 18% had medical consequences from holding it! A third of us avoided eating or drinking to avoid the need for a bathroom. This is not just bathrooms we are talking about. This is why it is such a serious issue. It spills over into quality of life and safety issues.
9% of 28,000 people were denied access to a bathroom in just the last year. That?õ????s 2,520 people denied the ability to pee when they needed it.
12% of 28,000 people were verbally harassed in a bathroom in the last year. That?õ????s 3,360.
1% of 28,000 people were physically or sexually assaulted in a bathroom in the last year. That?õ????s 280 rapes and 280 assaults per year, per 28,000 people.
We are talking about thousands of medical issues like infections, thousands of verbal, physical and sexual assaults. And these are per year! Let me just say that one last time to drill this in. Thousands per year out of just 28,000 people!
If you had a 1% chance
"	
What quote describes how you think?	"Technically a wonderful answer, the only answer till now, has been offered by Jim. I may not be able to write anything beyond that unless I take another route. I adopt poetry?õ????s way to share the quote that more or less describes the way I think. I ALWAYS HOLD THE OPINION THAT THINKING IS ONE?õ????S PERSONAL AREAS THAT CANNOT BE SHARED (in principle, and in actuality).
I follow the line of one of subcontinent?õ????s great poets,
Hei aadmi bajai khud ik mahshar e khiyaal
Ham anjuman samajhtay heiN, khilwat hi kioN na ho
[man himself is a conglomeration of multifarious noisy thoughts; it is a friendly togetherness, even if one is alone].
Hope this indirectly seconds what Jim has asserted. Thanks for reading the above.
"	
How is indemnity applied in marine insurances?	"Same way as in any other form of insurance.
Indemnity is the concept of making something whole after it is diminished.
If you insure your cargo, and it is lost, you will be made whole by the insurance - either reimbursed for the cargo, or have the cargo replaced in like and kind.
If you insure your boat, and you run into a smaller boat, your insurance will indemnify the owner of the smaller boat by paying for repairs, or replacing the boat.
"	
Where is the most beautiful spot in India?	"I cannot really name one place as the most beautiful spot.
Below are some of my personal favorites:
1 - Coorg -
2 - Gulmarg -
3 - Rishikesh -
4 - Auli -
5- Dudhsagar Falls -
6 - Leh Ladakh -
"	
"If all irrational numbers are an infinite string, can you assume that at some nth digit, all the digits leading up to it form a palindrome?"	"Yes, there is a position ?õ????n?õ???ù where all the digits that lead up to it form a palindrome.
That ordinal number is ONE. Let?õ????s look at ?è??:
3.141592653589793?õ????
Position 1: 3
?õ????3?õ???ù, just like ?õ????a?õ???ù and ?õ????I?õ???ù, is a palindrome.
There is also the trivial example of irrational numbers that start with 0.000000000000000000000000 before the have their first non-zero digit. I am going to ignore those possible answers. (The first 98 digits of ?è??/100 do form a palindrome.)
BUT no, for any value of ?õ????n?õ???ù greater than one, we cannot make such an assumption. There may be an occasional irrational number that has its first ?õ????n?õ???ù digits make a palindrome, but we can calculate the probability of this, and as ?õ????n?õ???ù grows larger, the probability gets smaller. In order to keep my calculations simple, I am allowing leading zeroes.
n = 1: probability = 100% (examples, 0, 1, 2, 3, 4 ?õ????
n = 2: probability = 10% (examples (00, 11, 22, 33, 44 ?õ????
n = 3: probability = 10% (000, 010, 020, 575, 797, 838, 929 ?õ????
n = 4: probability = 1%
Can you see why the chances of your palindromic irrational number occurring are practically zero?
"	
What are some realistic ways to get rich in 5 years?	"$200k in 5 years doesn't sound ""rich"" to me, but I'll bite.?ˇ If all you want to do is get rich in 5 years, there's no need to aim high with a venture-backed business.?ˇ What you need is a simple, sales and cash-flow oriented business model.
So, drop ship some e-commerce products.?ˇ With drop shipping, your supplier ships and stores the product for you.?ˇ You don't even pay for it until you make a sale (and collect payment from your customer.
I normally recommend that people use free traffic to generate sales, just by producing valuable content around the web.?ˇ But most drop shipped products don't even need that, a simple facebook ad campaign can turn one product sales page into a money printing machine.?ˇ A machine you put quarters into and get dollars back.
How?
Well, if your gross margin (sales price minus product cost) is $70, and your facebook ads cost $.50 per click, you could sell your product to just one in ten visitors and take home $65 every single sale.?ˇ $70 gross margin minus $5 in advertising equals $65.
Sales volume would only be limited by your advertising budget.
Sounds hard, but it just takes some time and research.?ˇ The other day I spent an hour or two browsing around Etsy, evaluating some opportunities.?ˇ I will reveal one of those opportunities below: a beautiful clock I found someone drop shipping with a sale price of $65, at a cost of $10/unit to him.?ˇ He is making a KILLING.
I've mentioned in previous answers many different places you can source product: Etsy, Alibaba, AliExpress, as well as more obscure, niche wholesalers.?ˇ Etsy is a particularly great place to start for a few reasons...
When browsing through Etsy, your main objective should be to identify products where there is a wide discrepancy between what you would pay to source the product, and the value your customer will perceive in the product.?ˇ This is true for any product sourcing platform, not just Etsy.?ˇ You will heighten customer's perceived value with a brand of your own, great pictures/design, and better distribution channels (Etsy is a marketplace where price is a huge factor for customers, whereas it won't be as important to customers elsewhere).
So, anytime you see a product and think it is priced too low, that's a great sign.?ˇ Of course, there is no set profit margin for Etsy sellers.?ˇ Some will markup 10%, others 300%.?ˇ But chances are, if you think a particular seller is marking up less, they will be more likely to give you a better price and appreciate you helping them sell more product.?ˇ Other Etsy sellers, like the one selling the clock I mentioned above, are drop shipping product from places like Alibaba.?ˇ
It's not a great idea to drop ship product on someone else's platform like Etsy, Amazon, eBay.?ˇ You can make money, but not nearly as much as if you build your own infrastructure, build a brand around the product, and forgo the fees.?ˇ Etsy's audience is limited.?ˇ Plus, you can't retarget visitors with ads to remind them to come back.?ˇ A sale takes 5 exposures to the product on average, so you don't want to be counting on selling to impulsive buyers only.?ˇ People who only see the product once.
When you see a seller drop shipping on Etsy and doing well, like the clock seller, it is a great sign you will succeed independently of Etsy.?ˇ Be sure to pay attention to product reviews and favorites.?ˇ This clock's 4,380 product favorites and 2,509 five-star reviews are a great sign that it will sell like wildfire.?ˇ Reviews and favorites serve as indicators that your customers will be happy with the item they receive, and that the item itself is desirable.?ˇ
You also want to avoid listings where the quantity available is only 1, for obvious reasons.
Beautiful and elegant in style.?ˇ I would expect this clock to fetch at least $90 with its own, independent sales page.?ˇ This seller has it listed for $65 on Etsy.?ˇ It has 4,379 product favorites and the seller has 2,508 five-star reviews.
I was on Etsy looking for product I could source from the Etsy seller, then re-sell on independent sales pages.?ˇ But, the $65 price tag on this clock was suspiciously high for Etsy.?ˇ
The fact that he has had so much success selling this clock at a $55 mark-up so successfully, on Etsy, nonetheless, is a strong sign this clock would perform really well with an independent sales page.?ˇ
You could build an independent sales page for it in just an hour, using this
You would then take that sales page URL, and use it to drive traffic.?ˇ Like I said earlier, normally I recommend writing content, producing videos, etc. and publishing content around the web for free exposure.?ˇ Which is great, and free.?ˇ
But for this clock I could sell on that sales page for ~$90, I wouldn't even bother.?ˇ That's a $70 mark-up.?ˇ I would just run a variety of facebook ads, then delete the ads that didn't work. For the ads that converted, I would ramp the budget up and run them continuously.
You see, Facebook ads might cost you $.50 per click, maybe a dollar, depending on the audience.?ˇ I would put the price of the clock in the ad so it wouldn't scare any buyers off.?ˇ If each click costs me just $.50, I need to convert 1 out of every 139 visitors in to buyers to be profitable.?ˇ
Again, if just 1 in 10 visitors purchased, I would earn $75 on each sale ($90 sales price - $5 advertising cost - $10 product cost).?ˇ The sales volume would be limited only by my daily advertising budget.
These are products NOT being drop shipped by the seller.?ˇ But, you could easily just ask the seller to drop ship them for you.?ˇ See this conversation I had for example...
Margins on bath and beauty items are typically very large.?ˇ The products are cheap to produce.?ˇ It's a product category where
This Etsy seller sells this product for just $3, with 153 five-star reviews and 1,129 product favorites.?ˇ To me, that screams
A facebook ad campaign to your sales page might cost $.50 a click.?ˇ With a $12 margin, so long as you sell one every 20 clicks, you are in business.?ˇ Refine your page to sell one every ten visitors, run enough ads to sell 50 a day, and you're making $350 a day while you sleep.
Another premium, bath and beauty item.?ˇ 1,796 product favorites, 2,495 five-star reviews, and yet it's only listed for $5.?ˇ The product is already branded well, too.?ˇ I think you could probably get this product shipped to your customer for $6, but charge $17.
I can't explain why, but it seems people can't get enough of this fairy dust.?ˇ 6,235 product favorites and 196 five-star reviews.?ˇ The item is listed for $18, my guess is she will ship for a unit cost of $12.
Seems like an excellent opportunity to sell for ~$29 with some facebook ads.
Drop shipping doesn't have to be complicated, nor does picking a product to sell.?ˇ Perceived value in your customers eyes minus product sourcing costs equals your margin.?ˇ So long as you don't use your whole margin on advertising, you've got yourself a money making machine.?ˇ A machine where you put a quarter in, and it spits a dollar back out.
For more great content like this, join my mailing list at
"	
The girl I like asked me if I would rather go on a date with her or another girl. What do I do?	"I am not exactly sure what her agenda is, there are two scenarios i envision. First being that she is interested in you and is being a bit flirty to find out if you would go on a date with her or like her. Second being that she is asking on behalf of her friend(another girl) to gauge if you are interested in her.
In either case, my recommendation will be to indirectly ask her what is the interest of the other person. and what is her interest in this set up.
I personally never prefer to ask someone else to ask on my behalf..am not in high school anymore where this is normal. Non the less
If you find she is interested in you then you can ask her for a date to see how well you guys get along and see how things go
If you find her friend is interested, ask politely to speak to her about it, maybe you find something in common with her( girl No.2)
If you find that both are interested in you?õ????you sir are a fortunate man, in which case you shall have to find a way to date the person you like without causing a breaking of friendship between the two girls if such friendship does exist.
At all times, please be as gentleman and humble as possible
Good luck
"	
Which are the best Bollywood movies till date?	"2. Masaan
3. CityLights
4. Shahid
5. Madras Cafe
6. I am kalam
7. Baby
8. Khosla Ka Ghosla
9. Ugly
10.Gulaal
11.Ship of Theseus
12. Black Friday
13.Udaan
14. A wednesday
15. Special 26
14. Swades
15. Black Friday
16. Paan Singh Tomar
17. Ab Tak Chhappan
18. Dev D
20. Aamir
21. Shanghai
22.Stanley ka Dabba
23. Iqbal
24.Lakshmi
25. Talwar
26. My name is Khan
27. Madaari
28. Rocket Singh
These are the ones i have watched so far and there are many more to be discovered.
(
Happy Watching !!
"	
A guy gets jealous of you and shoots you in the chest. What would be your last words to him?	"Go ahead and pull the trigger. Your girlfriend says you?õ????re ?õ????shooting blanks?õ???ù anyway.
"	
How do I use a laptop screen and keyboard with Raspberry Pi 3 straight out of the box?	"I did Something Just Like This-
"	
Are Jews sent by God?	"I fully agree with Michael DeMartino. After all of there is a G_d, or some omnipotent creating source by default all of us and everything would originate from that single source. And as Michael suggested each individual and nation have their own unique role, mission in the world. Jews have a very interesting and important one, which the Torah calls ?õ????light onto others?õ???ù, partners in ?õ????Tikkun Olam?õ???ù - ?õ????repair of the world?õ???ù.
Jews are supposed to teach others through their own positive example how to build unity and mutually complementing collaboration in between people above inherent differences, despite the constantly simmering ?õ????baseless hatred?õ???ù, rejecting us from one another. As we look around in our world today we can see how real and crucial this Jewish role is.
"	
What are the pros and cons of drinking black coffee?	"Pro:
No sugar, no cream/milk => hardly any calories.
Sugar rots your teeth too.
Con:
Black coffee is an acquired taste. There's a lot of bad coffee out there.
"	
Are there any particular resources to help me write a non-fiction book about my life? I feel like I could help a lot of people by publishing my story.	"The author?õ????s belief that they can help people by publishing their life story is the reason why publishers do not touch autobiographies written by people who are not famous. These authors mistakenly believe that just writing about what happened is attractive to readers. Tens of thousands of autobiographies prove them wrong. The sales figures of an average novel are estimated between 70 and 250. The sales figures typical for autobiographies are way below 50.
If you want to know more, write a comment to my answer. I will gladly reply.
"	
"What would be the basic minimum profile that would get you into University of California, Irvine for MS in the Computer Science course?"	"See getting into UCI has been mystery to me.
I would give my personal example, I have applied twice to UCI, the first time I got a reject. My profile then :
GRE :307 GPA:3.2/4.. NO papers or conferences. Just 1 years experience. Just some good projects in undergrad
I applied to UCI the next year with 2 year experience and gre :319. I got an admit.
So in all, I think the profile as a whole and sop matters. Since their ms in cs course is heavily research oriented, I guess they would have given a complete weightage to each and every aspect of the profile. Don't go into the spike in gre scores, I agree a nominal is required to clear cutoff, as I have heard about rejects at way better gre scores than mine.
I suppose your achievements, projects, research work, interns, sop and references(no specific order) .. All will play a role here.
Best.
"	
How does a couple get into foreplay? How do they get started?	"As with most questions about a group of people, the short answer is that it varies. Everyone does sex differently, so naturally their style of foreplay is highly individualized. Some people don?õ????t go for a lot of foreplay at all, while others make it into a whole separate activity.
My husband and I begin our foreplay in many different ways, depending on the circumstances. Sometimes one of us will roll over in bed and just start caressing the other, or we?õ????ll do the same when we?õ????re curled up on the couch together. At other times my husband might come up behind me and kiss the back of my neck while I'm typing notes or cooking dinner.
Since our house is quite large, foreplay frequently starts with a text. I might be in the living room while my husband is in the office, and I'll get a text that simple says ?õ????Blowjob??õ???ù. Or when he is feeling extra romantic: ?õ????Wanna duck??õ???ù. I know, I am the luckiest woman alive to be married to the King of Romance.
Another common way for us to get started is with discreet touching and steamy looks when we?õ????re around other people. You know how it is: You?õ????re at a restaurant with a group of people and you look across at your partner and realize that you'd like some sexy time. So you make a lot of eye contact, play a little footsie, and grab each other?õ????s butts when you finally get up. You make an excuse and hurry out to the car, where you kiss a little before you get in. Every red light is a chance to make out, and bench style seats allow you to stick your hands in each other?õ????s pants. You might even get a head start by giving your man a blowjob while he drives.
My husband and I are silly people, and a playful fight often leads to sex. It usually starts with us gently teasing each other and laughing like crazy monkeys, and then he might pick me up and tell me that he'll put me in the freezer so I'll chill, or I?õ????ll shut him up by covering his face with a pillow. Once you're laughing and in such close proximity to your partner, it is difficult
Sometimes or sex ?õ???? and foreplay ?õ???? simply starts because one of us says that it's time for sex. In those situations we just start kissing wherever we are, and then we?õ????ll either race to the bedroom (or wherever we?õ????re planning on having sex) or walk there holding hands. We almost always undress each other, but sometimes we?õ????ll each remove our own clothes for efficiency. Once we are naked, we get on the bed and start making out.
"	
What are some unusual bases of RNA?	"Modified bases in RNA are uracil (U), pseudouridine (????), dihydrouridine (D), Inosine, wyosine etc.
"	
Which book of physics is good to understand physics theory of class 11th CBSE?	"You just need SL Arora (New Simplified Physics) for understanding physics for 11th class CBSE.The book has a detailed simplified theory for understanding concepts of physics,has large number of topic wise examples,practice problems,HOTS,board questions and competitive level exam questions . This is a complete book in itself.
Moreover, you won't be needing NCERT book for Physics(it's a mess,nothing is systematic) as this book is enough and it also covers NCERT exercise questions.
There are two books(Part1 and Part2).The book would cost around 750 to 850.
"	
Is it safe for a dog to be fed raw chicken?	"Raw foodists would have you believe so, but no, it is not. Because of the way we farm chicken (very high density environments, weakened immune systems) chickens carry very high bacterial loads of food-borne pathogens such as E. Coli and Salmonella. Cooking kills the bacteria; but feeding raw chicken puts your dog at unnecessary risk.
"	
"If Mamata Banerjee gets to rule for an uninterrupted 34 years like the Communists, what would be the situation of West Bengal in 2045?"	"To face this dreaded question I shudder with the first thought; will it be really possible for Mamta Banerjee to continue as C.M. till 2045?
But since the question has been asked in consideration of Didi's rule in 2045 I think West Bengal ( the new name might be Bengal) will face a P.O.K. like situation because the way Didi is allowing Muslims to come from Bangladesh illegally and subsequently being settled, I don't think that the day is not far away for them to create a political uprising of ?õ???? Right of self determination?õ???? with the help of political support from Bangladesh / Pakistan and money from Saudis. This is going to be dangerous for our nation because the unrest will definitely spread to Bihar and creep up to UP where Muslims are facing great difficulties to carry on many many illegal trade.
The other scenario is a bit satirist. The way Didi is implementing the blind vision on all false notes the days are really near when Ma will be cooking all delicious machher jole and kosa mangso,Mati will yield only gold and since Manush wouldn't have any thing to do but to eat, drink ( as I hear that the government will distribute daru of all sorts and there will no dry day ) and raise their knees like a canon and fart.
Now I shall advise the Bengali Babus to rise against the danger and bring saffron government to ride the wave of development and welfare of our citizens.
"	
Why do so many people have the belief that pitbulls are bad dogs?	"Something people want to ignore, but cannot, if they are intellectually honest:
Breed traits are bred into dogs, and are VERY hard to erase. Collies, Shelties, border collies are
Golden retrievers, Labradors, these are
Some dogs are
These traits are often breed-specific. My dachshund mix ADORES digging! My old Golden retriever couldn?õ????t have cared less, but my current dog would dig to China!
Pitbulls were bred to
I have petted, been friends with, and neighbor of many pitbull terriers of whatever breed subset. I know that the RCA dog, ?õ????Petey?õ???ù of the Lil Rascals, were both Pitbulls, and I know they used to be called ?õ????the Nanny dog?õ???ù?õ???? but would I OWN one? absolutely NOT! They are just?õ???? too?õ???? dangerous!
Are they the fiercest dog around? Nope. THAT title goes to?õ???? the
Go ahead and laugh, but I?õ????ll tell you that hands down, the fiercest, nastiest, most vocal, most aggressive dogs I have ever met in my life are those little 4 pound 4 legged buzzsaws! If Chihuahuas weighed 60 pounds, I think everyone would live in terror of them! I?õ????ve met more than a few psychotic Chis in my life. BRRRR!
"	
How do you access USMC email from home?	"You need a CAC reader and Active Client software installed on your computer. You will also need the Outlook Web Access URL for the server your account is stored on. You can get it by looking in the ?õ????Info?õ???ù section under the ?õ????File?õ???ù tab on your desktop version of Outlook.
This webpage has a lot of resources for setting up CAC access at home:
It is not endorsed by the military or government but may be able to assist you if your S-6/G-6 cannot.
"	
"Ladies, if your man proposed to you and the ring has gemstones instead of diamonds. Would you still say ""Yes""?"	"Depends on what gemstone it is, carat weight size and quality.
If it is one of the big three gemstones (rubies, sapphires or emeralds) then definitely you should say ?õ????Yes!?õ???ù as I consider high quality ones more rare and difficult to find than a diamond.
Diamonds are marketed really well, definitely not rare and all look pretty much the same in terms of cut. But, high quality gemstones have their own charm by being unique as it is almost impossible to find multiple identical gemstone which has the same color, cut or clarity characteristics.
In fact, if you require a round brilliant, 2 carat D-color, IF-clarity diamond, with top triple excellent make (excellent cut, excellent polish & excellent symmetry) with no florescence ?õ????consider top and rarest quality white diamond?õ???ù - I can forward you 5 to 10 options immediately.
However, if you are looking for top grade, 2 carat ruby like ?õ????unheated?õ???? Burmese vivid red (pigeon?õ????s blood) or 2 carat ?õ????unheated?õ???? Kashmir vivid blue sapphire or ?õ????no oil?õ???? Colombian vivid green emerald - it would be a lot more difficult to find.
"	
Do transgender people really care that much about what bathroom they have to use?	"I could easily answer this question with appeals to reason and appeals to emotion and anecdotal stories to explain my own personal struggles and that of friends on this topic. I?õ????ve done it on many other questions in the transgender topic. I think personal stories and humanizing stories are a great way to explain things that may seem complicated or alternatively unimportant to someone on the outside looking in.
I could try to explain to you the fear as a transwoman of some guy beating me up if I was forced to go into a men?õ????s room. How that quiet, small and often well insulated place can feel like a torture chamber or prison. I can explain the fears that I might not pass well enough when I go into a woman's room and some man will see me going in and attack me without warning assuming I am there for some nefarious purpose rather than to pee and leave.
I could go into details about every single one of those things and fill a paragraph or two about each. But in this case, I don?õ????t have to.
There is clear and objective evidence that yes, transgender people do care and that they have good cause to care. After reading it you can make up your own mind if we care and I challenge anyone who would dispute such.
Overall 59% of transgender persons avoided bathrooms altogether! Not only did they care, they were so paralyzed by the fear, controversy and very real dangers that they went without a bathroom when they needed one! Even amongst those that reported that they can pass as their gender and almost never get outed as transgender 48% sometimes avoided bathrooms. More than half of all transpeople.
A total of 18% had medical consequences from holding it! A third of us avoided eating or drinking to avoid the need for a bathroom. This is not just bathrooms we are talking about. This is why it is such a serious issue. It spills over into quality of life and safety issues.
9% of 28,000 people were denied access to a bathroom in just the last year. That?õ????s 2,520 people denied the ability to pee when they needed it.
12% of 28,000 people were verbally harassed in a bathroom in the last year. That?õ????s 3,360.
1% of 28,000 people were physically or sexually assaulted in a bathroom in the last year. That?õ????s 280 rapes and 280 assaults per year, per 28,000 people.
We are talking about thousands of medical issues like infections, thousands of verbal, physical and sexual assaults. And these are per year! Let me just say that one last time to drill this in. Thousands per year out of just 28,000 people!
If you had a 1% chance
"	
What quote describes how you think?	"Technically a wonderful answer, the only answer till now, has been offered by Jim. I may not be able to write anything beyond that unless I take another route. I adopt poetry?õ????s way to share the quote that more or less describes the way I think. I ALWAYS HOLD THE OPINION THAT THINKING IS ONE?õ????S PERSONAL AREAS THAT CANNOT BE SHARED (in principle, and in actuality).
I follow the line of one of subcontinent?õ????s great poets,
Hei aadmi bajai khud ik mahshar e khiyaal
Ham anjuman samajhtay heiN, khilwat hi kioN na ho
[man himself is a conglomeration of multifarious noisy thoughts; it is a friendly togetherness, even if one is alone].
Hope this indirectly seconds what Jim has asserted. Thanks for reading the above.
"	
